↓ pense que ses relations avec → sont,Inter,Bleu,Culture,Musique,FIP Mouv C&Co,Echoes,Mobiwan /*,Wanda Indus,Wanda Hosting,Otto,Zone 51,Cockpit,Cruiser API,QA,SEO / Web A.,CRM,Partenariats,Design,Innovation,Acquisition
Inter,,Pas d'interaction,Pas d'interaction,OK,Pas d'interaction,Pas d'interaction,OK,Pas d'interaction,OK,Moyen,Pas d'interaction,OK,OK,Moyen,OK,Moyen,Moyen,OK,Pas d'interaction,
Bleu,OK,,OK,OK,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,Moyen,Pas d'interaction,Moyen,Moyen,Moyen,Moyen,Moyen,Pas d'interaction,Moyen,Pas d'interaction,Pas d'interaction
Culture,OK,OK,,OK,Pas d'interaction,Pas d'interaction,OK,OK,moyen,Moyen,Pas d'interaction,OK,OK,OK,NOK,Pas d'interaction,Pas d'interaction,Moyen,Pas d'interaction,
Musique,OK,Pas d'interaction,Pas d'interaction,,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,OK,Pas d'interaction,Pas d'interaction,OK,OK,OK,OK,Pas d'interaction,Pas d'interaction,OK,Pas d'interaction,
FIP Mouv C&Co,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,,OK,Pas d'interaction,OK,OK,OK (récent),OK (récent),OK,OK,Pas d'interaction,OK,Pas d'interaction,Pas d'interaction,OK,Moyen,Pas d'interaction
Echoes,,,,,,,,,,,,,,,,,,,,
Mobiwan /*,,,,,,,,,,,,,,,,,,,,
Wanda Indus,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,NOK,,OK,Pas d'interaction,Pas d'interaction,Pas d'interaction,Moyen,OK,Pas d'interaction,Pas d'interaction,Pas d'interaction,Moyen,Pas d'interaction,Pas d'interaction
Wanda Hosting,,,,,,,,,,,,,,,,,,,,
Otto,Moyen,OK,OK,NOK,Pas d'interaction,Pas d'interaction,Pas d'interaction,OK,OK,,Pas d'interaction,OK,OK,OK,OK,Pas d'interaction,Pas d'interaction,NOK,Pas d'interaction,Pas d'interaction
Zone 51,OK,OK,OK,Moyen,OK,Pas d'interaction,Pas d'interaction,Pas d'interaction,Moyen,Pas d'interaction,,OK,OK,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction
Cockpit,OK,OK,OK,Moyen,Pas d'interaction,Pas d'interaction,OK,Pas d'interaction,NOK,Moyen,OK,,Moyen,OK,OK,Pas d'interaction,Pas d'interaction,Pas d'interaction,Moyen,Pas d'interaction
Cruiser API,OK,OK,OK,Pas d'interaction,OK,OK,OK (Sauf franceinter),OK,Moyen,Pas d'interaction,OK,Pas d'interaction,,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction
QA,,,,,,,,,,,,,,,,,,,,
SEO / Web Analytics,Moyen,OK,OK,Moyen,Moyen,OK,OK,Pas d'interaction,Pas d'interaction,OK,Pas d'interaction,OK,Pas d'interaction,OK,,OK,Moyen,OK,Moyen,OK
CRM,,,,,,,,,,,,,,,,,,,,
Partenariats,,,,,,,,,,,,,,,,,,,,
Design,Moyen,OK,OK,OK,OK,OK,OK,Moyen,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,Pas d'interaction,OK,OK,Pas d'interaction,,OK,NOK
Innovation,,,,,,,,,,,,,,,,,,,,
Acquisition,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Non applicable,,,,,,,,,,,,,,,,,,,,
Pas d'interaction,,,,,,,,,,,,,,,,,,,,
OK,,,,,,,,,,,,,,,,,,,,
Moyen,,,,,,,,,,,,,,,,,,,,
NOK,,,,,,,,,,,,,,,,,,,,
